Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2016,Honda,Odyssey SE,Used,"$27,000 ",4.7,637,Gray,–,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H32GB156479
2022,Honda,Pilot Sport,New,"$41,770 ",4.8,582,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB104224
2022,Honda,Pilot Special Edition,New,"$44,600 ",4.9,79,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,Automatic,V6 Cylinder Engine,5FNYF6H24NB104381
2020,Honda,Accord Hybrid EX,Used,"$30,895 ",4.6,114,White,Black,Front-wheel Drive,48–47,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F44LA011979
2020,Honda,Accord Sport 1.5T,Used,"$27,990 ",4.0,9545,White,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34LA000511
2020,Honda,Civic LX,Used,"$21,998 ",4.9,3,White,Black,Front-wheel Drive,31–40,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,SHHFK7H31LU413383
2022,Honda,Accord Hybrid Sport,Used,"$34,987 ",4.5,1324,Still Night Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F24NA021087
2019,Honda,Civic Si Base,Used,"$23,674 ",4.1,412,Lunar Silver Metallic,Black,Front-wheel Drive,28–38,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFC1E58KH701445
2022,Honda,Pilot EX-L,New,"$41,503 ",4.9,2109,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H56NB095578
2022,Honda,Accord Hybrid Sport,Used,"$33,752 ",4.7,290,Gray,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F28NA037955
2014,Honda,Odyssey EX-L,Used,"$22,987 ",5.0,248,Blue,Beige,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H61EB091695
2022,Honda,Accord Sport 2.0T,Used,"$31,599 ",4.8,564,Gray,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F30NA002894
2022,Honda,CR-V Hybrid EX-L,Used,"$39,998 ",4.7,4,White,Tan,All-wheel Drive,40–35,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H81NL029857
2008,Honda,CR-V EX-L,Used,"$9,995 ",4.5,113,White,–,Four-wheel Drive,20–26,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,JHLRE48768C070522
2022,Honda,Passport TrailSport,New,"$44,660 ",4.7,1056,Radiant Red Metallic II,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB029083
2019,Honda,Passport Elite,Used,"$36,990 ",4.5,1555,White Diamond Pearl,Gray,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H00KB027806
2022,Honda,Accord Hybrid Sport,New,"$31,576 ",3.8,672,Crystal Black Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F26NA042846
2017,Honda,Accord EX,Used,"$20,950 ",4.8,441,Crystal Black Pearl,Black,Front-wheel Drive,26–34,Gasoline,Automatic CVT,2.4L I4 16V GDI DOHC,1HGCT1B76HA008745
2016,Honda,Odyssey EX-L,Used,"$23,100 ",5.0,2756,Silver,Gray,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H60GB079752
2022,Honda,Pilot EX-L,New,"$41,604 ",5.0,5,Modern Steel Metallic,Black,Front-wheel Drive,20–27,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF5H59NB036373
2020,Honda,Passport EX-L,Used,"$30,291 ",2.2,57,Modern Steel Metallic,–,Front-wheel Drive,20–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF7H55LB003203
2022,Honda,Pilot Special Edition,Used,"$37,494 ",5.0,1621,Sonic Gray Pearl,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H25NB027143
