Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2022,Honda,Pilot Touring 7-Passenger,New,"$46,465 ",5,12,Modern Steel Metallic,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H62NB035655
2023,Honda,Pilot TrailSport,New,"$51,735 ",5,12,Sky,Black,AWD,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC,5FNYG1H63PB001393
2023,Honda,HR-V LX,New,"$24,895 ",4.6,23,Gray,–,Front-wheel Drive,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H32PM713954
2022,Honda,Passport TrailSport,New,"$45,169 ",4.9,18,Black,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H65NB028619
2023,Honda,Ridgeline RTL-E,New,"$45,920 ",4.8,6,Platinum White Pearl,Beige,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F70PB015829
2023,Honda,CR-V Hybrid Sport Touring,New,"$39,845 ",4.8,2700,Meteorite Gray Metallic,Black,All-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H91PH800231
2023,Honda,CR-V EX-L,New,"$36,900 ",4.7,178,Still Night Pearl,Black,All-wheel Drive,27–32,Gasoline,continuously variable automatic,4 Cylinder Engine,2HKRS4H76PH400569
2022,Honda,Pilot EX-L,New,"$42,950 ",4.5,1627,Crystal Black Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H50NB094491
2023,Honda,CR-V EX-L,New,"$36,983 ",4.5,1627,Lunar Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H71PH401354
2022,Honda,Pilot Sport,New,"$39,950 ",4.5,1627,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H32NB096368
2023,Honda,Passport Elite,New,"$48,250 ",4.5,1627,Sonic Gray Pearl,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H01PB001061
2023,Honda,Passport EX-L,New,"$42,790 ",4.5,1627,Platinum White Pearl,Gray,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H52PB004384
2023,Honda,Passport EX-L,New,"$42,790 ",3.7,270,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H53PB007049
2022,Honda,Pilot TrailSport,New,"$46,500 ",5,14,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H82NB102228
2022,Honda,Pilot Special Edition,New,"$44,600 ",4.8,1077,Platinum White Pearl,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H21NB105276
2022,Honda,Pilot Sport,New,"$37,551 ",5,1516,Crystal Black Pearl,Black,Front-wheel Drive,20–27,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H37NB038203
2022,Honda,HR-V EX-L,New,"$29,790 ",4.7,208,Midnight Amethyst,Black,All-wheel Drive,26–31,Gasoline,Automatic CVT,1.8L I4 16V MPFI SOHC,3CZRU6H70NM750108
2023,Honda,Passport EX-L,New,"$39,981 ",4.7,208,Radiant Red,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H5XPB005363
2023,Honda,CR-V EX-L,New,"$37,494 ",5,1349,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H72PH401718
2022,Honda,Pilot EX-L,New,"$43,605 ",4.6,1874,Lunar Silver Metallic,–,AWD,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H53NB096722
2023,Honda,HR-V LX,New,"$24,895 ",4.7,739,Modern Steel Metallic,Black,FWD,,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,3CZRZ1H37PM710340
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,3,Silver Metallic,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F36NA024561
2022,Honda,Pilot Special Edition,New,"$43,600 ",4.6,245,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H29NB105428
2022,Honda,Accord Sport 2.0T,New,"$34,755 ",5,38,Crystal Black Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F3XNA025034
2023,Honda,CR-V EX,New,"$34,405 ",4.7,38,Canyon,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARS4H48PE012977
2022,Honda,Accord Hybrid Sport,New,"$32,158 ",3,2142,Sonic Gray Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA032871
2023,Honda,Odyssey Elite,New,"$50,915 ",4.4,2,Obsidian Black,Gray,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H9XPB030171
2023,Honda,Odyssey Touring,New,"$46,290 ",4.4,2,Pewter,Mocha,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H81PB029319
2022,Honda,Accord Hybrid Sport,New,"$32,560 ",5,2546,Still Night Pearl,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F2XNA041327
